"DateTime";"IBC-Br"
"2011-04-01";6,23
"2011-05-01";5,84
"2011-06-01";5,5
"2011-07-01";5,05
"2011-08-01";4,71
"2011-09-01";4,26
"2011-10-01";3,99
"2011-11-01";3,48
"2011-12-01";3,17
"2012-01-01";2,78
"2012-02-01";2,2
"2012-03-01";2,19
"2012-04-01";2
"2012-05-01";1,67
"2012-06-01";1,36
"2012-07-01";1,28
"2012-08-01";1,07
"2012-09-01";0,86
"2012-10-01";1,03
"2012-11-01";1,04
"2012-12-01";0,9
"2013-01-01";1,21
"2013-02-01";1,31
"2013-03-01";1,32
"2013-04-01";1,91
"2013-05-01";1,98
"2013-06-01";2,1
"2013-07-01";2,24
"2013-08-01";2,2
"2013-09-01";2,58
"2013-10-01";2,48
"2013-11-01";2,56
"2013-12-01";2,91
"2014-01-01";2,75
"2014-02-01";3,13
"2014-03-01";3,09
"2014-04-01";2,37
"2014-05-01";2,23
"2014-06-01";1,85
"2014-07-01";1,45
"2014-08-01";1,13
"2014-09-01";0,85
"2014-10-01";0,49
"2014-11-01";0,12
"2014-12-01";-0,26
"2015-01-01";-0,66
"2015-02-01";-1,46
"2015-03-01";-1,47
"2015-04-01";-1,65
"2015-05-01";-2,06
"2015-06-01";-1,96
"2015-07-01";-2,21
"2015-08-01";-2,43
"2015-09-01";-3,03
"2015-10-01";-3,45
"2015-11-01";-3,8
"2015-12-01";-4,29
"2016-01-01";-4,69
"2016-02-01";-4,64
"2016-03-01";-5,21
"2016-04-01";-5,3
"2016-05-01";-5,26
"2016-06-01";-5,33
"2016-07-01";-5,36
"2016-08-01";-5,11
"2016-09-01";-4,81
"2016-10-01";-4,72
"2016-11-01";-4,42
"2016-12-01";-4,09
"2017-01-01";-3,47
"2017-02-01";-3,22
"2017-03-01";-2,59
"2017-04-01";-2,36
"2017-05-01";-1,85
"2017-06-01";-1,68
"2017-07-01";-1,18
"2017-08-01";-0,9
"2017-09-01";-0,59
"2017-10-01";0,05
"2017-11-01";0,43
"2017-12-01";0,75
"2018-01-01";0,95
"2018-02-01";1,06
"2018-03-01";0,94
"2018-04-01";1,41
"2018-05-01";1,05
"2018-06-01";1,2
"2018-07-01";1,26
"2018-08-01";1,34
"2018-09-01";1,33
"2018-10-01";1,38
"2018-11-01";1,37
"2018-12-01";1,26
"2019-01-01";1,13
"2019-02-01";1,35
"2019-03-01";1,21
"2019-04-01";0,91
"2019-05-01";1,57
"2019-06-01";1,32
"2019-07-01";1,28
"2019-08-01";0,98
"2019-09-01";1,08
"2019-10-01";1,02
"2019-11-01";0,94
"2019-12-01";0,99
"2020-01-01";0,91
"2020-02-01";0,73
"2020-03-01";0,75
"2020-04-01";-0,51
"2020-05-01";-2,11
"2020-06-01";-2,52
"2020-07-01";-3,06
"2020-08-01";-3,35
"2020-09-01";-3,56
"2020-10-01";-3,94
"2020-11-01";-4,06
"2020-12-01";-3,99
"2021-01-01";-4,04
