"DateTime";"Taxa de Desocupação"
"2012-03-01";7,9
"2012-04-01";7,7
"2012-05-01";7,6
"2012-06-01";7,5
"2012-07-01";7,4
"2012-08-01";7,3
"2012-09-01";7,1
"2012-10-01";6,9
"2012-11-01";6,8
"2012-12-01";6,9
"2013-01-01";7,2
"2013-02-01";7,7
"2013-03-01";8
"2013-04-01";7,8
"2013-05-01";7,6
"2013-06-01";7,4
"2013-07-01";7,3
"2013-08-01";7,1
"2013-09-01";6,9
"2013-10-01";6,7
"2013-11-01";6,5
"2013-12-01";6,2
"2014-01-01";6,4
"2014-02-01";6,7
"2014-03-01";7,2
"2014-04-01";7,1
"2014-05-01";7
"2014-06-01";6,8
"2014-07-01";6,9
"2014-08-01";6,9
"2014-09-01";6,8
"2014-10-01";6,6
"2014-11-01";6,5
"2014-12-01";6,5
"2015-01-01";6,8
"2015-02-01";7,4
"2015-03-01";7,9
"2015-04-01";8
"2015-05-01";8,1
"2015-06-01";8,3
"2015-07-01";8,5
"2015-08-01";8,7
"2015-09-01";8,9
"2015-10-01";8,9
"2015-11-01";9
"2015-12-01";8,9
"2016-01-01";9,5
"2016-02-01";10,2
"2016-03-01";10,9
"2016-04-01";11,2
"2016-05-01";11,2
"2016-06-01";11,3
"2016-07-01";11,6
"2016-08-01";11,8
"2016-09-01";11,8
"2016-10-01";11,8
"2016-11-01";11,8
"2016-12-01";12
"2017-01-01";12,6
"2017-02-01";13,2
"2017-03-01";13,7
"2017-04-01";13,6
"2017-05-01";13,3
"2017-06-01";13
"2017-07-01";12,8
"2017-08-01";12,6
"2017-09-01";12,4
"2017-10-01";12,2
"2017-11-01";12
"2017-12-01";11,8
"2018-01-01";12,2
"2018-02-01";12,6
"2018-03-01";13,1
"2018-04-01";12,9
"2018-05-01";12,7
"2018-06-01";12,4
"2018-07-01";12,3
"2018-08-01";12,1
"2018-09-01";11,9
"2018-10-01";11,7
"2018-11-01";11,6
"2018-12-01";11,6
"2019-01-01";12
"2019-02-01";12,4
"2019-03-01";12,7
"2019-04-01";12,5
"2019-05-01";12,3
"2019-06-01";12
"2019-07-01";11,8
"2019-08-01";11,8
"2019-09-01";11,8
"2019-10-01";11,6
"2019-11-01";11,2
"2019-12-01";11
"2020-01-01";11,2
"2020-02-01";11,6
"2020-03-01";12,2
"2020-04-01";12,6
"2020-05-01";12,9
"2020-06-01";13,3
"2020-07-01";13,8
"2020-08-01";14,4
"2020-09-01";14,6
"2020-10-01";14,3
"2020-11-01";14,1
"2020-12-01";13,9
