interruptores,pulsadores,tomadas,total,ibc,desemprego,imobiliario,comercial,residencial,material_eletrico,pib,variacao_pib,consumo,ICST-A,ICST-R,geracaoGWh,IndEletronica,IndEletrica,IndEletronica+Eletrica,IndGeral
5109625,149613,8168659,13427897,2.75,6.4,18276691502.674515,12437977582.405514,379178116966.4292,6.9,455935.0,-3.72028444575839,40279759.0,99.6,97.8,50045.962407,47.4,45.3,46.308,53.1
5235998,141128,8774994,14152120,3.13,6.7,18597203963.210003,12841741709.208378,388642614733.58514,7.3,450358.8,-1.2230252119271412,41653487.0,98.4,96.7,46459.730274,48.8,49.1,48.956,52.3
5100680,144853,8465237,13710770,3.09,7.2,18923337147.679222,13258612908.203066,398343351655.84094,7.8,462159.8,2.6203551479398204,40269429.0,97.1,96.3,48004.27717,48.9,47.6,48.224000000000004,52.4
4695875,132094,7774926,12602895,2.37,7.1,19255189624.91,13689016663.8,408286224394.57,6.8,468767.5,1.4297435648881645,39591854.0,92.9,92.6,45412.583753,45.8,44.2,44.968,49.2
5563254,156946,8883242,14603442,2.23,7.0,19592861692.3,14133392272.57,418477276795.11,9.9,473347.1,0.9769448607251947,39100499.0,95.2,94.6,44890.282526,42.6,40.1,41.3,47.9
4941148,133960,8221242,13296350,1.85,6.8,19925201876.61,14701704433.89,427649780443.98,6.4,458516.5,-3.1331342264481976,37726472.88,92.8,93.1,41970.305389,40.6,41.5,41.068,47.4
5483596,148944,9110383,14742923,1.45,6.9,20317443258.61,15114675639.59,436693028607.39,7.4,481994.0,5.120317371348686,37866809.0,91.2,91.6,42991.945569,40.9,41.6,41.263999999999996,46.4
5315195,133166,9091765,14540126,1.13,6.9,20702542856.64,15588904764.98,445662104684.8,7.5,477052.9,-1.0251372423723069,38550694.0,91.7,92.0,42636.89927699999,44.1,42.4,43.215999999999994,46.5
5891793,149498,9625935,15667226,0.85,6.8,21080325641.85,16019172551.71,452288854186.59,8.7,476520.6,-0.11158091691719021,38894976.0,89.5,90.5,43171.22477000001,45.1,41.2,43.072,46.5
5379266,137857,8784276,14301399,0.49,6.6,21550019993.1,16550840078.58,461970841016.55,5.5,493304.7,3.522219186326894,40100440.59,86.4,88.0,46186.817965,41.0,43.0,42.04,45.8
5757705,146941,10138703,16043349,0.12,6.5,21978400836.71,16968889909.47,470533604105.38,11.3,489484.4,-0.7744300834757886,40950726.39,86.1,87.5,44576.937669,43.8,40.7,42.188,44.7
5655926,126149,9541344,15323419,-0.26,6.5,22426803153.54,17352685028.24,479665601897.73,12.1,499867.7,2.121272914928441,39838307.03,87.8,88.5,45721.008419,41.9,45.5,43.772,45.1
5015563,105452,9070054,14191069,-0.66,6.8,22811476183.94,17533753801.79,487333815458.95,6.5,472913.9,-5.3921867726200325,40757967.53,86.1,84.5,50855.355839053096,38.6,42.1,40.42,44.3
5469137,125343,9684637,15279117,-1.46,7.4,23159406477.98,18025827374.06,492820064223.14,9.3,460156.7,-2.697573490650203,40719266.36,82.0,80.5,45069.9895437344,40.4,35.3,37.748,40.1
6134678,152598,10993077,17280353,-1.47,7.9,23604460983.33,19225944698.79,499377696263.27,8.7,501752.2,9.039420701687055,39758964.39,77.4,76.7,49155.36349882879,35.4,35.2,35.296,37.6
4602975,120741,8202041,12925757,-1.65,8.0,24000332266.59,19549315467.76,507148275181.65,7.9,486614.6,-3.0169474094981616,39596670.300000004,77.3,77.1,45035.10747270891,37.5,37.1,37.292,38.6
4850288,121549,8637872,13609709,-2.06,8.1,24409839050.73,19469088609.21,513027142526.67,9.6,483239.7,-0.6935468027469717,38202362.339999996,75.2,74.7,43184.7219424799,39.0,37.7,38.324,38.7
4843418,116780,8745912,13706110,-1.96,8.3,24817168024.47,19786779377.22,518987880479.5,10.5,486647.5,0.7051986829724437,37263665.830000006,76.4,76.7,40979.020348913,38.5,38.5,38.5,38.9
5284518,126299,9483983,14894800,-2.21,8.5,25248844963.03,20142899281.76,525157681646.45,8.1,502275.2,3.211297705217845,36816443.29,72.6,73.0,42782.22906756609,33.7,37.7,35.78,37.3
5241699,117384,9248414,14607497,-2.43,8.7,25650186987.21,20292662252.96,530814880356.2,10.6,492505.7,-1.9450492479023453,37858685.11000001,72.5,72.8,43466.271256242406,34.0,37.3,35.716,36.9
5579359,144534,10272233,15996126,-3.03,8.9,26075924952.54,20688099265.57,535729040746.04,8.4,496004.7,0.710448630340725,37841649.6,69.3,70.5,43587.227848548704,32.8,35.4,34.152,35.9
4950655,109958,8907988,13968601,-3.45,8.9,26421660858.4,21046068176.71,540151702837.79,7.4,518828.9,4.601609621844312,39276665.57000001,67.2,68.9,46207.6328841868,32.6,34.2,33.432,35.1
5148074,118121,9223530,14489725,-3.8,9.0,26802395676.54,21216957584.61,544636225027.46,7.0,513819.8,-0.9654627951527054,39224855.370000005,68.7,70.3,44770.01135129181,34.2,35.1,34.668000000000006,36.6
4598781,103177,8718728,13420686,-4.29,8.9,27210293405.89,21321178996.65,550398246852.44,10.6,521918.7,1.5762140734942527,38669960.36000001,68.7,69.6,46315.12317121869,31.9,36.6,34.344,36.0
4327195,86882,7869279,12283356,-4.69,9.5,27467821521.98,21461372674.22,552728575671.86,6.5,490284.0,-6.061231375691274,38400901.10000001,68.5,66.9,46541.3318050288,31.4,37.0,34.312,36.6
3780151,103029,7186589,11069769,-4.64,10.2,27726678424.79,21483238246.99,554674242036.56,6.5,491011.7,0.1484241786393216,38727336.57,69.1,67.6,44753.5128518336,34.4,37.2,35.856,37.2
4390475,116645,8151080,12658200,-5.21,10.9,28024393124.16,21631561377.8,558914785834.17,7.9,516985.9,5.2899350463542945,39444914.24,67.9,67.1,48309.280414999994,35.6,39.4,37.576,37.4
3898762,84899,7406020,11389681,-5.3,11.2,28335129044.49,21747013686.7,559380935458.91,6.7,508058.7,-1.726778235151096,40269420.080000006,67.2,66.9,46816.8351482533,35.0,38.8,36.976,37.0
3825675,84461,7113903,11024039,-5.26,11.2,28594190602.23,22256993163.66,561997675323.14,8.0,513267.5,1.025235863493724,38648672.57999999,69.2,68.8,44109.8474974,43.2,39.4,41.224000000000004,41.4
4541593,109675,8375692,13026960,-5.33,11.3,28883853555.62,25892938168.87,562454810115.39,10.1,536459.3,4.5184625950406065,37550409.230000004,68.5,68.9,42442.678047999994,47.2,44.5,45.796,45.8
4198103,90431,7709835,11998369,-5.36,11.6,29165904670.48,26103079898.07,566172414565.5,8.3,532947.8,-0.6545696942899488,37255240.92,70.1,70.6,43377.49340688879,49.3,46.7,47.948,47.4
4864286,108946,8754379,13727611,-5.11,11.8,29474160694.95,25677218977.56,570643572663.33,7.9,534761.8,0.3403710457196746,37693934.25,72.6,72.9,44395.738752,54.0,49.2,51.504000000000005,51.7
4493709,101431,8146357,12741497,-4.81,11.8,29714517806.16,25705797132.74,574196703456.2,11.8,509975.0,-4.635110436085757,38345059.93,73.3,74.3,43304.5533763333,55.3,49.0,52.024,53.9
4059839,92092,7528302,11680233,-4.72,11.8,29970018681.17,26173890159.97,570174549872.68,7.2,525162.7,2.978126378744047,38197842.24,72.8,74.4,44945.08182313019,55.0,51.2,53.024,52.5
4819699,99488,8833870,13753057,-4.42,11.8,30021021068.39,26199567448.2,573897792207.02,7.1,541530.7,3.116748390546397,38754249.059999995,71.3,72.9,44055.66711750001,54.7,49.4,51.944,51.9
4893700,101018,8821391,13816109,-4.09,12.0,30484795158.57,26152312338.19,578849953769.04,6.8,565780.5,4.478010203299656,38780794.980000004,70.7,71.7,46217.6516690608,50.1,46.8,48.384,48.0
5406960,103074,10335989,15846023,-3.47,12.6,30611386705.88,26087173844.68,580624894541.58,9.2,526564.7,-6.931274584401556,39369163.58,75.6,73.9,49707.75248139009,52.0,48.6,50.232,50.3
6005339,109009,10275818,16390166,-3.22,13.2,30927448569.27,26111138825.15,583726220088.71,4.8,514120.5,-2.363280333831712,38836387.49,75.3,73.9,46091.205192158486,57.3,52.7,54.908,53.3
