,interruptores,pulsadores,tomadas,total,ibc,desemprego,imobiliario,comercial,residencial,material_eletrico,pib,variacao_pib,consumo,ICST-A,ICST-R,geracaoGWh,IndEletronica,IndEletrica,IndEletronica+Eletrica,IndGeral
2014-04-01,-7796.0,-28694.0,535538.0,499048.0,-0.2599999999999998,-0.8000000000000007,98568.82782745361,425484.41042137146,5896661.373413086,-1.6000000000000005,-22570.5,-6.380113068954331,3464269.0,-2.7999999999999545,-3.999999999999986,-9267.019342,-1.9000000000000057,3.4000000000000057,0.8560000000000016,-4.200000000000003
2014-05-01,1541671.0,54095.0,2179181.0,3774947.0,1.2599999999999993,0.6000000000000014,100297.39766311646,439296.5708217621,6043845.337646484,5.6000000000000005,3165.1999999999534,5.771804821807304,-520263.0,9.399999999999963,9.0,6205.632503000008,3.1000000000000085,1.1999999999999957,2.1119999999999948,5.199999999999989
2014-06-01,-2761669.0,-85449.0,-3568943.0,-6416061.0,-0.8199999999999994,-0.10000000000000142,-11151473.239219666,109964699.37693214,-1266728413.480896,-10.700000000000001,-17382.09999999992,-4.39509326189911,-1068891.1199999973,-11.199999999999989,-9.200000000000003,-4467.068100000011,1.29999999999999,6.200000000000003,3.848000000000013,-1.0999999999999872
2014-07-01,2654039.0,85808.0,3321457.0,6061304.0,0.21999999999999953,0.40000000000000124,65233080.76999664,-279277508.16999817,889293266.210022,11.100000000000001,57718.29999999993,16.0208110679807,2397033.359999992,5.500000000000014,3.5,6339.293227000009,1.1000000000000014,-6.799999999999997,-3.0080000000000098,-1.3000000000000043
2014-08-01,-1875403.0,-68732.0,-2458900.0,-4403035.0,0.10000000000000031,-0.40000000000000124,-67042981.65999985,216598875.30999756,55083399.4598999,-5.4,-66726.69999999995,-26.762436896488154,-970813.359999992,1.299999999999983,1.9000000000000057,-5318.30378900002,0.6000000000000085,1.999999999999993,1.328000000000003,1.6000000000000014
2014-09-01,1455848.0,62872.0,1460547.0,2979267.0,-0.039999999999999925,0.0,-175028.84999847412,-105219258.34999847,-2268154489.619873,2.0,32827.39999999991,21.457917150693987,-883151.8800000027,-4.799999999999997,-3.8000000000000114,2266.058257000048,-5.1000000000000085,-2.6999999999999886,-3.8519999999999897,-1.2000000000000028
2014-10-01,-1834124.0,-60083.0,-1928617.0,-3822824.0,-0.12000000000000022,8.881784197001252e-16,99228378.86000061,145361078.80000114,5397563903.789856,-5.499999999999998,12907.600000000151,-4.338767161387143,1200785.5900000036,1.8000000000000114,0.9000000000000057,1591.8959169999434,-2.8999999999999986,4.999999999999986,1.207999999999977,-0.6000000000000014
2014-11-01,1980091.0,48698.0,3571915.0,5600704.0,0.07000000000000006,0.20000000000000018,-133225073.6800003,-215017436.12000275,-4174461069.2998657,13.399999999999999,-37920.800000000105,-10.650693150835735,-1216361.3800000101,3.6999999999999744,3.0,-7106.741192999973,12.0,-7.099999999999987,2.068000000000019,0.30000000000001137
2014-12-01,-1371184.0,-50601.0,-4147872.0,-5569657.0,0.0,-8.881784197001252e-16,61334980.86000061,79362983.86000443,1688458444.6499023,-14.000000000000002,34808.0,15.12280164125368,-1607526.3699999899,-0.7999999999999687,-0.5,7379.424536999999,-11.599999999999994,11.199999999999989,0.255999999999986,1.8999999999999844
2015-01-01,-58366.0,29971.0,2077855.0,2049460.0,-0.010000000000000009,0.20000000000000018,-83750759.65000534,-168471633.1000061,-2033018934.6499023,-1.3999999999999968,-51540.69999999995,-17.601514954159615,3994785.019999996,-5.40000000000002,-6.5,1236.3256240530973,3.299999999999997,-15.29999999999999,-6.371999999999986,-2.6999999999999957
